human,machine
saturday february 22 2014,2014-02-22
16 january 1992,1992-01-16
thursday december 17 1970,1970-12-17
friday august 6 1976,1976-08-06
26 nov 1994,1994-11-26
14 oct 2017,2017-10-14
sunday december 4 2016,2016-12-04
21 feb 2002,2002-02-21
28 jan 2003,2003-01-28
25 mar 2014,2014-03-25
oct 12 2004,2004-10-12
17 oct 1999,1999-10-17
sunday december 13 2015,2015-12-13
04 aug 1977,1977-08-04
17 october 1979,1979-10-17
wednesday march 6 2002,2002-03-06
sunday december 27 1992,1992-12-27
1 jul 2016,2016-07-01
23 jan 1981,1981-01-23
9/23/97,1997-09-23
18 april 2003,2003-04-18
tuesday august 21 1984,1984-08-21
4/20/84,1984-04-20
wednesday december 22 2004,2004-12-22
saturday may 10 2003,2003-05-10
1/5/12,2012-01-05
tuesday january 20 2004,2004-01-20
05 dec 1971,1971-12-05
11/2/84,1984-11-02
15 oct 1988,1988-10-15
3 february 1976,1976-02-03
october 29 2001,2001-10-29
07 oct 2003,2003-10-07
november 28 1988,1988-11-28
february 5 2009,2009-02-05
21 january 1986,1986-01-21
monday june 21 2010,2010-06-21
27 june 1995,1995-06-27
april 13 2007,2007-04-13
16 feb 1993,1993-02-16
08 feb 1981,1981-02-08
tuesday august 2 1983,1983-08-02
saturday september 22 2012,2012-09-22
thursday december 3 1987,1987-12-03
11/23/08,2008-11-23
sunday february 16 1975,1975-02-16
friday december 2 2011,2011-12-02
august 8 1989,1989-08-08
19 nov 1989,1989-11-19
03 aug 1993,1993-08-03
october 10 2001,2001-10-10
16 08 83,1983-08-16
monday july 1 1996,1996-07-01
6 december 2004,2004-12-06
wednesday april 30 1997,1997-04-30
march 8 1981,1981-03-08
26 may 1970,1970-05-26
july 17 1976,1976-07-17
august 27 1985,1985-08-27
sunday april 7 2013,2013-04-07
6 sep 1988,1988-09-06
sunday may 26 1974,1974-05-26
saturday september 9 1989,1989-09-09
18 june 2016,2016-06-18
wednesday september 9 1998,1998-09-09
aug 24 2001,2001-08-24
10 september 2018,2018-09-10
22.11.83,1983-11-22
march 16 1991,1991-03-16
17 march 1975,1975-03-17
24.07.95,1995-07-24
saturday september 21 1974,1974-09-21
march 7 2006,2006-03-07
1 september 1970,1970-09-01
thursday june 3 2004,2004-06-03
august 11 2010,2010-08-11
12 february 2002,2002-02-12
saturday august 12 2017,2017-08-12
saturday may 17 1986,1986-05-17
saturday april 7 2007,2007-04-07
thursday october 11 1990,1990-10-11
08 aug 1995,1995-08-08
sunday february 18 1990,1990-02-18
december 6 1975,1975-12-06
october 8 2004,2004-10-08
august 24 2015,2015-08-24
14 february 2013,2013-02-14
saturday june 19 1999,1999-06-19
tuesday december 18 2007,2007-12-18
26 02 76,1976-02-26
tuesday september 9 1997,1997-09-09
april 12 1988,1988-04-12
08.05.84,1984-05-08
saturday august 1 1981,1981-08-01
may 8 1978,1978-05-08
january 31 1992,1992-01-31
3 10 14,2014-10-03
3/5/14,2014-03-05
wednesday september 18 1996,1996-09-18
4 apr 1983,1983-04-04
saturday september 10 1994,1994-09-10
sunday november 5 1978,1978-11-05
1 mar 2012,2012-03-01
8 august 1980,1980-08-08
22 october 1992,1992-10-22
tuesday july 22 2014,2014-07-22
23 03 87,1987-03-23
23 sep 2017,2017-09-23
october 27 2007,2007-10-27
monday may 24 1993,1993-05-24
wednesday march 22 1978,1978-03-22
september 20 2010,2010-09-20
saturday february 24 1973,1973-02-24
march 17 2004,2004-03-17
13.11.88,1988-11-13
wednesday july 31 1991,1991-07-31
january 13 2005,2005-01-13
10/9/73,1973-10-09
sunday november 1 1998,1998-11-01
wednesday march 14 1973,1973-03-14
17 feb 1989,1989-02-17
2 december 2005,2005-12-02
21.08.01,2001-08-21
may 31 2012,2012-05-31
saturday march 20 2010,2010-03-20
13 apr 1980,1980-04-13
sunday may 18 2008,2008-05-18
12 03 82,1982-03-12
09 aug 1987,1987-08-09
26 june 1976,1976-06-26
thursday june 29 2000,2000-06-29
20 mar 1978,1978-03-20
20 mar 1996,1996-03-20
thursday june 5 2014,2014-06-05
friday december 1 2006,2006-12-01
8 april 2002,2002-04-08
19 03 88,1988-03-19
25 03 04,2004-03-25
august 17 1988,1988-08-17
thursday february 6 1992,1992-02-06
29 jan 1998,1998-01-29
saturday february 10 1973,1973-02-10
december 11 2009,2009-12-11
tuesday january 11 2011,2011-01-11
19 apr 2018,2018-04-19
24 jun 2006,2006-06-24
6 august 1992,1992-08-06
wednesday april 25 2001,2001-04-25
11 mar 2002,2002-03-11
7/29/16,2016-07-29
august 9 1978,1978-08-09
saturday march 10 2018,2018-03-10
january 2 1993,1993-01-02
sunday april 12 2015,2015-04-12
27 february 1999,1999-02-27
friday november 15 1974,1974-11-15
march 8 1982,1982-03-08
sunday october 12 1980,1980-10-12
august 15 1990,1990-08-15
25 march 1993,1993-03-25
friday november 3 1972,1972-11-03
friday october 30 1992,1992-10-30
11 jun 1984,1984-06-11
21 mar 1976,1976-03-21
27 apr 1991,1991-04-27
13 oct 2016,2016-10-13
13 02 13,2013-02-13
monday february 12 1996,1996-02-12
tuesday december 17 1974,1974-12-17
wednesday february 21 2007,2007-02-21
03 mar 1980,1980-03-03
june 13 1995,1995-06-13
wednesday june 18 2008,2008-06-18
may 30 2017,2017-05-30
saturday june 12 2010,2010-06-12
april 4 1997,1997-04-04
28 aug 1988,1988-08-28
23 04 73,1973-04-23
wednesday april 28 2004,2004-04-28
wednesday march 11 1981,1981-03-11
saturday april 5 2014,2014-04-05
wednesday may 17 2000,2000-05-17
tuesday january 15 1985,1985-01-15
feb 13 2014,2014-02-13
7 may 1996,1996-05-07
monday july 15 1996,1996-07-15
8 december 2010,2010-12-08
8 december 2002,2002-12-08
thursday december 4 1980,1980-12-04
sunday april 5 1981,1981-04-05
15 aug 2010,2010-08-15
10/7/82,1982-10-07
12/1/16,2016-12-01
thursday june 13 1974,1974-06-13
26 jun 1981,1981-06-26
22 jun 2010,2010-06-22
march 16 1986,1986-03-16
27 aug 2002,2002-08-27
12/3/78,1978-12-03
tuesday march 29 2011,2011-03-29
jan 15 1974,1974-01-15
august 6 1992,1992-08-06
11 oct 1980,1980-10-11
sunday december 25 1988,1988-12-25
21 may 1986,1986-05-21
march 24 2001,2001-03-24
wednesday january 12 2011,2011-01-12
tuesday march 5 2013,2013-03-05
oct 4 1992,1992-10-04
december 9 1972,1972-12-09
saturday july 18 2009,2009-07-18
monday april 14 1986,1986-04-14
13 jul 2015,2015-07-13
tuesday may 1 1990,1990-05-01
thursday january 6 2005,2005-01-06
thursday august 23 1990,1990-08-23
26 feb 1989,1989-02-26
december 16 2001,2001-12-16
27 november 1972,1972-11-27
saturday july 11 1981,1981-07-11
september 5 1984,1984-09-05
may 8 1984,1984-05-08
jan 12 1991,1991-01-12
sunday august 12 1973,1973-08-12
monday january 23 2012,2012-01-23
4 september 1991,1991-09-04
21 feb 1991,1991-02-21
march 9 2005,2005-03-09
october 29 1975,1975-10-29
5 july 1975,1975-07-05
monday february 23 1987,1987-02-23
mar 16 1981,1981-03-16
jul 4 2001,2001-07-04
saturday december 24 2011,2011-12-24
friday march 23 2007,2007-03-23
wednesday may 25 2005,2005-05-25
15 nov 2002,2002-11-15
21 aug 2009,2009-08-21
monday november 8 2010,2010-11-08
thursday march 3 2011,2011-03-03
thursday january 27 2011,2011-01-27
sunday january 30 2011,2011-01-30
wednesday october 20 2010,2010-10-20
thursday april 28 2016,2016-04-28
29 may 1987,1987-05-29
23 jul 2004,2004-07-23
june 25 2014,2014-06-25
monday august 30 2004,2004-08-30
april 2 1982,1982-04-02
wednesday november 3 1976,1976-11-03
7/25/92,1992-07-25
28 mar 2000,2000-03-28
17 nov 2014,2014-11-17
sunday september 19 1993,1993-09-19
9 november 1986,1986-11-09
friday september 7 1979,1979-09-07
tuesday july 17 1984,1984-07-17
aug 19 2013,2013-08-19
april 9 1979,1979-04-09
april 1 1975,1975-04-01
sunday april 24 2016,2016-04-24
sunday october 27 1974,1974-10-27
mar 28 1999,1999-03-28
26 jul 2002,2002-07-26
friday march 14 2008,2008-03-14
friday december 7 2007,2007-12-07
january 23 1992,1992-01-23
sunday september 14 2014,2014-09-14
sunday august 15 2004,2004-08-15
monday april 17 1995,1995-04-17
wednesday february 11 1998,1998-02-11
2 november 2008,2008-11-02
3 april 1995,1995-04-03
sunday november 29 1981,1981-11-29
29 apr 2002,2002-04-29
sunday july 17 1983,1983-07-17
2/6/94,1994-02-06
20.06.78,1978-06-20
9 jun 2017,2017-06-09
monday february 15 1993,1993-02-15
sunday july 5 1987,1987-07-05
15 may 1973,1973-05-15
27 10 15,2015-10-27
sunday august 2 1992,1992-08-02
monday may 10 1971,1971-05-10
3 07 75,1975-07-03
nov 20 1985,1985-11-20
20 09 92,1992-09-20
26 december 2017,2017-12-26
wednesday february 17 1988,1988-02-17
aug 2 2001,2001-08-02
19 may 2004,2004-05-19
saturday february 28 2004,2004-02-28
thursday july 16 1987,1987-07-16
06 apr 1971,1971-04-06
sunday july 14 2002,2002-07-14
saturday october 16 1971,1971-10-16
15 may 1997,1997-05-15
december 25 1988,1988-12-25
wednesday january 23 2008,2008-01-23
monday may 31 1982,1982-05-31
april 1 1993,1993-04-01
april 23 1974,1974-04-23
11 02 91,1991-02-11
tuesday february 13 2007,2007-02-13
20 06 09,2009-06-20
aug 26 1987,1987-08-26
may 9 1996,1996-05-09
13 june 2009,2009-06-13
sunday february 5 1989,1989-02-05
16 jun 1978,1978-06-16
january 11 2015,2015-01-11
10 september 1981,1981-09-10
april 15 2001,2001-04-15
16 09 82,1982-09-16
8/29/71,1971-08-29
7 april 1973,1973-04-07
thursday march 2 1978,1978-03-02
21 april 1998,1998-04-21
wednesday april 5 1989,1989-04-05
4 dec 2002,2002-12-04
dec 12 1999,1999-12-12
22 feb 1977,1977-02-22
03.02.99,1999-02-03
thursday august 26 1976,1976-08-26
monday april 23 2001,2001-04-23
7 oct 2003,2003-10-07
sunday march 18 2007,2007-03-18
wednesday march 18 2015,2015-03-18
thursday april 20 1989,1989-04-20
15 08 96,1996-08-15
12 03 07,2007-03-12
monday february 4 1980,1980-02-04
april 21 2003,2003-04-21
friday march 11 1977,1977-03-11
tuesday july 29 1986,1986-07-29
19 nov 1987,1987-11-19
wednesday august 3 1983,1983-08-03
wednesday january 18 1995,1995-01-18
wednesday april 7 2004,2004-04-07
23 mar 1996,1996-03-23
wednesday october 5 1977,1977-10-05
saturday may 7 2016,2016-05-07
dec 7 2002,2002-12-07
august 9 2009,2009-08-09
february 3 1998,1998-02-03
01 oct 2005,2005-10-01
16 may 2002,2002-05-16
september 11 1983,1983-09-11
saturday october 9 1993,1993-10-09
7 feb 2006,2006-02-07
11 september 2015,2015-09-11
10 june 1998,1998-06-10
thursday june 9 2016,2016-06-09
june 29 1980,1980-06-29
8/6/79,1979-08-06
sunday june 14 1992,1992-06-14
monday june 29 1987,1987-06-29
16 mar 2009,2009-03-16
9/5/03,2003-09-05
saturday july 25 1987,1987-07-25
july 17 2018,2018-07-17
dec 19 1983,1983-12-19
friday june 20 2008,2008-06-20
19 06 17,2017-06-19
6 feb 2003,2003-02-06
thursday december 31 1970,1970-12-31
monday january 9 1995,1995-01-09
14 may 2000,2000-05-14
august 24 2018,2018-08-24
saturday september 24 1977,1977-09-24
sunday february 21 1993,1993-02-21
10 december 1977,1977-12-10
14 feb 2016,2016-02-14
january 9 1987,1987-01-09
wednesday august 22 2007,2007-08-22
sep 17 1999,1999-09-17
28.01.73,1973-01-28
friday november 24 2006,2006-11-24
14 june 1988,1988-06-14
11 jul 1998,1998-07-11
sunday april 25 2004,2004-04-25
4 august 2009,2009-08-04
14.02.12,2012-02-14
20 dec 1989,1989-12-20
wednesday december 30 1998,1998-12-30
august 15 1999,1999-08-15
tuesday january 1 2008,2008-01-01
thursday january 15 1998,1998-01-15
10 aug 2011,2011-08-10
july 15 1976,1976-07-15
01.11.17,2017-11-01
15 february 2001,2001-02-15
august 6 2018,2018-08-06
1 january 1986,1986-01-01
sunday march 23 2003,2003-03-23
monday march 21 1994,1994-03-21
thursday june 9 2005,2005-06-09
thursday september 2 1993,1993-09-02
june 14 1985,1985-06-14
mar 13 1977,1977-03-13
thursday november 25 1971,1971-11-25
29 january 1987,1987-01-29
2/1/09,2009-02-01
friday may 11 1973,1973-05-11
21 01 14,2014-01-21
02 may 2014,2014-05-02
9 10 93,1993-10-09
sunday august 16 2015,2015-08-16
5 jan 2013,2013-01-05
may 5 1998,1998-05-05
friday july 13 2018,2018-07-13
monday january 7 1991,1991-01-07
4 jun 2007,2007-06-04
saturday june 6 1970,1970-06-06
jul 18 2016,2016-07-18
22 sep 2014,2014-09-22
aug 6 1977,1977-08-06
wednesday april 18 1990,1990-04-18
friday august 10 1990,1990-08-10
21.05.84,1984-05-21
monday february 9 1981,1981-02-09
tuesday march 24 1981,1981-03-24
december 15 1995,1995-12-15
10.06.87,1987-06-10
thursday july 27 2006,2006-07-27
2 12 74,1974-12-02
13 feb 2017,2017-02-13
february 20 2013,2013-02-20
9/6/97,1997-09-06
friday july 15 2016,2016-07-15
friday february 9 1996,1996-02-09
31.12.86,1986-12-31
tuesday june 23 1998,1998-06-23
saturday february 15 1986,1986-02-15
monday august 12 1974,1974-08-12
5/11/88,1988-05-11
13 october 1999,1999-10-13
28 nov 1983,1983-11-28
11 oct 2010,2010-10-11
sunday november 17 2002,2002-11-17
7/14/05,2005-07-14
16.05.11,2011-05-16
july 19 2004,2004-07-19
monday february 25 1991,1991-02-25
monday august 4 1997,1997-08-04
20 may 1989,1989-05-20
14 may 1975,1975-05-14
monday october 7 1985,1985-10-07
09.06.95,1995-06-09
nov 19 2007,2007-11-19
10.04.13,2013-04-10
11 may 2015,2015-05-11
monday january 13 1986,1986-01-13
24 04 08,2008-04-24
20 june 1995,1995-06-20
mar 12 1977,1977-03-12
saturday february 10 1996,1996-02-10
14 01 17,2017-01-14
20.12.02,2002-12-20
october 30 1990,1990-10-30
tuesday august 24 1976,1976-08-24
27 january 1996,1996-01-27
20 02 79,1979-02-20
monday august 31 1970,1970-08-31
march 16 1997,1997-03-16
23 may 2013,2013-05-23
monday december 21 1987,1987-12-21
15 mar 1996,1996-03-15
tuesday august 5 1980,1980-08-05
friday january 5 1979,1979-01-05
25.03.93,1993-03-25
monday june 7 1976,1976-06-07
tuesday june 14 1977,1977-06-14
saturday february 14 1976,1976-02-14
feb 25 1990,1990-02-25
friday december 31 1993,1993-12-31
24 sep 1972,1972-09-24
28.06.90,1990-06-28
8 september 2017,2017-09-08
wednesday september 13 2000,2000-09-13
tuesday december 1 2009,2009-12-01
monday july 11 2011,2011-07-11
10 12 11,2011-12-10
28 jun 2011,2011-06-28
11 04 13,2013-04-11
saturday july 1 1995,1995-07-01
13 oct 1984,1984-10-13
29 nov 1973,1973-11-29
8 july 1994,1994-07-08
11/14/95,1995-11-14
may 28 1994,1994-05-28
18 march 1973,1973-03-18
6 january 1989,1989-01-06
thursday august 22 1985,1985-08-22
12.08.81,1981-08-12
14 october 1999,1999-10-14
17 august 2013,2013-08-17
thursday july 25 1991,1991-07-25
28 jan 1999,1999-01-28
16.10.91,1991-10-16
thursday april 29 1982,1982-04-29
april 2 1997,1997-04-02
16 october 1981,1981-10-16
27 jun 2004,2004-06-27
wednesday march 26 1986,1986-03-26
may 3 1987,1987-05-03
friday december 24 1976,1976-12-24
27 april 1985,1985-04-27
03 sep 2008,2008-09-03
jul 5 2014,2014-07-05
october 4 2007,2007-10-04
monday december 29 1986,1986-12-29
saturday may 18 1996,1996-05-18
april 4 2016,2016-04-04
09.06.76,1976-06-09
14 aug 1970,1970-08-14
friday september 22 1978,1978-09-22
monday september 15 2008,2008-09-15
15 may 2012,2012-05-15
19 march 1998,1998-03-19
monday september 8 1980,1980-09-08
11 july 1985,1985-07-11
17 january 2013,2013-01-17
1 10 93,1993-10-01
tuesday february 5 2013,2013-02-05
13 06 73,1973-06-13
12 oct 1987,1987-10-12
monday april 29 2002,2002-04-29
26 july 1976,1976-07-26
jul 5 2005,2005-07-05
november 22 1991,1991-11-22
thursday september 17 1992,1992-09-17
september 22 1983,1983-09-22
9/30/71,1971-09-30
13 jul 1983,1983-07-13
30 dec 1985,1985-12-30
4 february 1975,1975-02-04
18 apr 1978,1978-04-18
november 22 1998,1998-11-22
wednesday april 7 1971,1971-04-07
sunday may 15 2016,2016-05-15
jan 7 2017,2017-01-07
saturday april 22 1972,1972-04-22
29 january 2013,2013-01-29
friday december 3 1982,1982-12-03
tuesday august 22 1989,1989-08-22
thursday february 17 2000,2000-02-17
thursday january 13 2000,2000-01-13
thursday november 6 2008,2008-11-06
1/4/14,2014-01-04
thursday july 31 1975,1975-07-31
september 8 1983,1983-09-08
05.05.92,1992-05-05
29 sep 2010,2010-09-29
21 10 77,1977-10-21
20 feb 1998,1998-02-20
wednesday july 19 1995,1995-07-19
mar 27 1973,1973-03-27
wednesday june 26 2002,2002-06-26
26 december 1979,1979-12-26
21 february 2014,2014-02-21
may 7 1971,1971-05-07
11 apr 1994,1994-04-11
monday may 14 2018,2018-05-14
tuesday may 3 1994,1994-05-03
thursday december 14 1978,1978-12-14
10 jun 1977,1977-06-10
march 10 1972,1972-03-10
sunday july 7 1974,1974-07-07
wednesday august 5 2015,2015-08-05
thursday july 29 1982,1982-07-29
thursday january 8 1976,1976-01-08
26 mar 1975,1975-03-26
thursday may 31 2012,2012-05-31
22 june 2008,2008-06-22
28 september 2005,2005-09-28
11.08.76,1976-08-11
friday march 23 1973,1973-03-23
26 november 1988,1988-11-26
11 02 72,1972-02-11
19 feb 1972,1972-02-19
02.03.05,2005-03-02
22 july 1985,1985-07-22
5 feb 2014,2014-02-05
monday november 16 1970,1970-11-16
sunday march 25 1990,1990-03-25
tuesday october 7 2014,2014-10-07
september 10 1983,1983-09-10
12 jul 2007,2007-07-12
21 march 1980,1980-03-21
wednesday september 2 2009,2009-09-02
january 21 1992,1992-01-21
25 05 78,1978-05-25
22 may 1980,1980-05-22
tuesday june 17 1975,1975-06-17
tuesday december 15 1987,1987-12-15
oct 8 2005,2005-10-08
sunday march 10 2013,2013-03-10
23 09 88,1988-09-23
january 9 1982,1982-01-09
march 9 2005,2005-03-09
1 october 1995,1995-10-01
friday july 1 2016,2016-07-01
7/23/95,1995-07-23
thursday july 19 2012,2012-07-19
monday may 3 1982,1982-05-03
monday january 18 1988,1988-01-18
may 6 2015,2015-05-06
23 sep 2017,2017-09-23
friday november 28 2008,2008-11-28
saturday october 31 1981,1981-10-31
mar 8 1990,1990-03-08
18 march 1990,1990-03-18
friday september 25 2009,2009-09-25
thursday february 20 1975,1975-02-20
thursday october 8 2015,2015-10-08
thursday july 15 1971,1971-07-15
thursday august 16 1979,1979-08-16
december 15 1976,1976-12-15
tuesday january 28 1992,1992-01-28
27 december 1980,1980-12-27
16 april 2015,2015-04-16
friday december 20 1985,1985-12-20
8/15/85,1985-08-15
wednesday december 23 1992,1992-12-23
monday july 11 1994,1994-07-11
tuesday december 18 2001,2001-12-18
saturday february 2 1974,1974-02-02
sunday april 17 2011,2011-04-17
tuesday july 27 2010,2010-07-27
friday april 20 2018,2018-04-20
24 jul 2018,2018-07-24
thursday march 17 1983,1983-03-17
monday june 9 1986,1986-06-09
26 oct 1990,1990-10-26
31 may 2003,2003-05-31
thursday february 18 2010,2010-02-18
tuesday september 26 1978,1978-09-26
12/20/74,1974-12-20
wednesday november 7 2007,2007-11-07
18 may 1979,1979-05-18
friday june 22 2001,2001-06-22
thursday december 6 1979,1979-12-06
6 june 2011,2011-06-06
monday april 24 1972,1972-04-24
26 04 71,1971-04-26
9 june 1987,1987-06-09
friday july 30 2010,2010-07-30
march 31 1976,1976-03-31
january 14 1992,1992-01-14
saturday october 30 1976,1976-10-30
saturday july 14 2007,2007-07-14
29 january 1974,1974-01-29
08.01.75,1975-01-08
3 aug 1987,1987-08-03
sunday october 1 2006,2006-10-01
sunday august 26 2012,2012-08-26
saturday may 21 1988,1988-05-21
friday october 16 1992,1992-10-16
wednesday june 2 1993,1993-06-02
19 march 2001,2001-03-19
tuesday september 21 1976,1976-09-21
03.07.84,1984-07-03
07 oct 2017,2017-10-07
september 20 2013,2013-09-20
october 2 2005,2005-10-02
tuesday november 2 1971,1971-11-02
28 march 2014,2014-03-28
9 august 2002,2002-08-09
tuesday august 10 1971,1971-08-10
jun 17 1972,1972-06-17
wednesday september 30 1970,1970-09-30
january 10 1991,1991-01-10
17 sep 1979,1979-09-17
tuesday july 4 1989,1989-07-04
february 19 2006,2006-02-19
friday february 9 2007,2007-02-09
29 oct 2001,2001-10-29
wednesday march 29 1978,1978-03-29
monday april 25 2016,2016-04-25
friday january 19 2001,2001-01-19
thursday august 6 2015,2015-08-06
saturday february 12 1994,1994-02-12
20 aug 1990,1990-08-20
friday may 23 2014,2014-05-23
tuesday february 22 2000,2000-02-22
21 aug 1976,1976-08-21
sunday august 11 1974,1974-08-11
march 1 1995,1995-03-01
saturday october 8 2016,2016-10-08
03.11.94,1994-11-03
wednesday august 8 1979,1979-08-08
tuesday march 24 1970,1970-03-24
10 apr 1981,1981-04-10
december 7 2017,2017-12-07
sunday october 25 1992,1992-10-25
8 february 2010,2010-02-08
wednesday july 16 1997,1997-07-16
january 7 1973,1973-01-07
thursday may 13 2010,2010-05-13
sunday april 13 2008,2008-04-13
28 april 1978,1978-04-28
31 march 1981,1981-03-31
tuesday may 7 1996,1996-05-07
mar 21 2018,2018-03-21
24.04.98,1998-04-24
saturday november 28 1987,1987-11-28
march 24 2001,2001-03-24
9 07 76,1976-07-09
6/19/09,2009-06-19
8 jun 1973,1973-06-08
thursday september 3 1992,1992-09-03
monday august 13 2012,2012-08-13
18 july 2017,2017-07-18
tuesday july 30 1996,1996-07-30
28 september 1984,1984-09-28
25.08.09,2009-08-25
10 october 1997,1997-10-10
9/5/11,2011-09-05
friday september 1 2017,2017-09-01
saturday april 20 1974,1974-04-20
sunday march 11 1990,1990-03-11
wednesday april 9 1980,1980-04-09
sunday november 2 1997,1997-11-02
friday july 6 1984,1984-07-06
jan 29 1976,1976-01-29
monday april 11 1977,1977-04-11
sunday december 28 1975,1975-12-28
03 apr 1984,1984-04-03
26 may 2004,2004-05-26
03.10.74,1974-10-03
9 july 1980,1980-07-09
7 may 1994,1994-05-07
monday may 11 2015,2015-05-11
march 20 1988,1988-03-20
saturday april 30 2005,2005-04-30
saturday may 12 1973,1973-05-12
saturday december 4 1993,1993-12-04
monday june 26 1995,1995-06-26
friday september 15 1995,1995-09-15
september 11 2002,2002-09-11
15 mar 1993,1993-03-15
25 mar 1970,1970-03-25
monday january 24 2011,2011-01-24
friday may 2 1975,1975-05-02
29 september 1985,1985-09-29
19.06.77,1977-06-19
14 mar 2017,2017-03-14
18.05.88,1988-05-18
29 march 1986,1986-03-29
14 july 2009,2009-07-14
14.03.88,1988-03-14
may 11 1974,1974-05-11
thursday january 12 2006,2006-01-12
thursday march 27 2008,2008-03-27
july 1 1979,1979-07-01
2/22/13,2013-02-22
october 15 1995,1995-10-15
2 apr 1992,1992-04-02
6 07 09,2009-07-06
thursday december 15 2011,2011-12-15
april 27 1977,1977-04-27
5 december 1977,1977-12-05
8 mar 1981,1981-03-08
sunday march 19 1972,1972-03-19
monday november 14 2011,2011-11-14
18 january 1999,1999-01-18
24 apr 1985,1985-04-24
thursday december 21 1978,1978-12-21
friday december 14 1984,1984-12-14
08 oct 1984,1984-10-08
sunday october 18 1987,1987-10-18
23 jul 2017,2017-07-23
friday june 1 2018,2018-06-01
7/18/73,1973-07-18
wednesday february 28 1973,1973-02-28
friday june 3 1988,1988-06-03
1 february 2001,2001-02-01
14 april 1994,1994-04-14
february 25 2001,2001-02-25
tuesday october 2 1990,1990-10-02
21 september 1970,1970-09-21
july 7 1988,1988-07-07
11 mar 2018,2018-03-11
thursday september 1 2005,2005-09-01
sunday november 25 2007,2007-11-25
7 may 2016,2016-05-07
tuesday september 5 1995,1995-09-05
31.12.89,1989-12-31
3 nov 1979,1979-11-03
thursday december 21 1989,1989-12-21
sunday september 18 2005,2005-09-18
19 sep 1973,1973-09-19
tuesday june 7 2016,2016-06-07
saturday february 2 2013,2013-02-02
20 july 2005,2005-07-20
monday june 21 1999,1999-06-21
16.11.10,2010-11-16
thursday january 22 1998,1998-01-22
thursday august 18 2011,2011-08-18
monday october 29 2012,2012-10-29
19 jul 1998,1998-07-19
jan 1 1974,1974-01-01
2/15/86,1986-02-15
saturday august 26 2006,2006-08-26
12/11/70,1970-12-11
7 october 1994,1994-10-07
thursday november 16 2000,2000-11-16
wednesday june 16 2004,2004-06-16
tuesday february 29 2000,2000-02-29
june 22 2015,2015-06-22
thursday january 30 1975,1975-01-30
thursday march 21 2013,2013-03-21
friday november 9 1979,1979-11-09
thursday march 5 1987,1987-03-05
thursday february 16 1984,1984-02-16
sep 17 2013,2013-09-17
sunday january 17 2010,2010-01-17
05 may 2004,2004-05-05
tuesday december 16 2003,2003-12-16
friday january 29 2010,2010-01-29
thursday november 11 1999,1999-11-11
7 april 2004,2004-04-07
21 december 1995,1995-12-21
wednesday june 6 2001,2001-06-06
monday august 31 1998,1998-08-31
